,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,10,2,0,.833,284,170,114,9.5,-3.4,6.1,0.1,6.0
1,Cleveland Browns,7,5,0,.583,270,214,56,4.7,-1.6,3.0,-0.2,3.3
2,Philadelphia Eagles,7,5,0,.583,268,278,-10,-0.8,-1.8,-2.6,0.4,-3.0
3,Pittsburgh Steelers,6,5,1,.545,257,216,41,3.4,-2.3,1.1,-0.7,1.9
4,Washington Redskins,3,9,0,.250,185,350,-165,-13.8,0.9,-12.9,-5.7,-7.2
5,Chicago Cardinals,2,10,0,.167,234,324,-90,-7.5,-0.7,-8.2,-1.2,-7.1
6,Baltimore Colts,9,3,0,.750,374,251,123,10.3,-0.2,10.0,10.6,-0.6
7,Chicago Bears,8,4,0,.667,252,196,56,4.7,0.8,5.4,-0.8,6.2
8,Green Bay Packers,7,5,0,.583,248,246,2,0.2,1.4,1.6,0.0,1.6
9,San Francisco 49ers,7,5,0,.583,255,237,18,1.5,1.7,3.2,0.5,2.7
10,Detroit Lions,3,8,1,.273,203,275,-72,-6.0,2.3,-3.7,-3.8,0.1
11,Los Angeles Rams,2,10,0,.167,242,315,-73,-6.1,3.0,-3.0,0.7,-3.8
