,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Philadelphia Eagles,14,3,0,.824,477,344,133,7.8,-1.3,6.5,5.8,0.7
1,Dallas Cowboys,12,5,0,.706,467,342,125,7.4,-0.8,6.5,5.3,1.3
2,New York Giants,9,7,1,.559,365,371,-6,-0.4,0.0,-0.4,-0.8,0.4
3,Washington Commanders,8,8,1,.500,321,343,-22,-1.3,0.4,-0.9,-3.5,2.6
4,Minnesota Vikings,13,4,0,.765,424,427,-3,-0.2,0.1,-0.1,2.8,-2.9
5,Detroit Lions,9,8,0,.529,453,427,26,1.5,0.7,2.2,4.7,-2.4
6,Green Bay Packers,8,9,0,.471,370,371,-1,-0.1,0.4,0.3,-0.3,0.6
7,Chicago Bears,3,14,0,.176,326,463,-137,-8.1,1.6,-6.4,-2.5,-4.0
8,Tampa Bay Buccaneers,8,9,0,.471,313,358,-45,-2.6,0.4,-2.3,-3.3,1.1
9,Carolina Panthers,7,10,0,.412,347,374,-27,-1.6,-0.6,-2.2,-1.3,-0.9
10,New Orleans Saints,7,10,0,.412,330,345,-15,-0.9,-0.3,-1.2,-2.8,1.7
11,Atlanta Falcons,7,10,0,.412,365,386,-21,-1.2,-0.9,-2.1,-0.1,-2.0
12,San Francisco 49ers,13,4,0,.765,450,277,173,10.2,-2.3,7.9,3.3,4.6
13,Seattle Seahawks,9,8,0,.529,407,401,6,0.4,-0.8,-0.5,1.9,-2.4
14,Los Angeles Rams,5,12,0,.294,307,384,-77,-4.5,0.5,-4.0,-4.1,0.0
15,Arizona Cardinals,4,13,0,.235,340,449,-109,-6.4,0.2,-6.2,-1.9,-4.3
16,Buffalo Bills,13,3,0,.813,455,286,169,10.6,0.4,10.9,7.1,3.8
17,Miami Dolphins,9,8,0,.529,397,399,-2,-0.1,2.0,1.8,2.7,-0.9
18,New England Patriots,8,9,0,.471,364,347,17,1.0,1.0,2.0,-0.3,2.3
19,New York Jets,7,10,0,.412,296,316,-20,-1.2,2.0,0.8,-4.0,4.8
20,Cincinnati Bengals,12,4,0,.750,418,322,96,6.0,0.9,6.9,5.5,1.4
21,Baltimore Ravens,10,7,0,.588,350,315,35,2.1,1.1,3.1,-0.2,3.4
22,Pittsburgh Steelers,9,8,0,.529,308,346,-38,-2.2,1.5,-0.8,-3.0,2.3
23,Cleveland Browns,7,10,0,.412,361,381,-20,-1.2,1.1,-0.1,0.7,-0.9
24,Jacksonville Jaguars,9,8,0,.529,404,350,54,3.2,-1.4,1.8,1.6,0.2
25,Tennessee Titans,7,10,0,.412,298,359,-61,-3.6,0.0,-3.6,-4.7,1.1
26,Indianapolis Colts,4,12,1,.265,289,427,-138,-8.1,-0.5,-8.6,-4.9,-3.7
27,Houston Texans,3,13,1,.206,289,420,-131,-7.7,-0.8,-8.5,-5.4,-3.1
28,Kansas City Chiefs,14,3,0,.824,496,369,127,7.5,-1.2,6.2,6.8,-0.6
29,Los Angeles Chargers,10,7,0,.588,391,384,7,0.4,-1.3,-0.9,0.1,-1.0
30,Las Vegas Raiders,6,11,0,.353,395,418,-23,-1.4,-1.1,-2.5,1.2,-3.7
31,Denver Broncos,5,12,0,.294,287,359,-72,-4.2,-0.7,-5.0,-5.6,0.6
